location,location_name,season,year,week,epiweek,num_patients,wili,ili_plus,ili_plus_a,ili_plus_b
02,Alaska,2015/2016,2016,18,201618,1565,2.04473,3.7632,0.0,3.7632
02,Alaska,2015/2016,2016,13,201613,1922,4.42248,15.742,12.588500000000002,3.1450000000000005
02,Alaska,2015/2016,2015,52,201552,841,0.356718,0.0,0.0,0.0
02,Alaska,2015/2016,2016,19,201619,1353,1.03474,,,
02,Alaska,offseason,2016,26,201626,1072,0.186567,,,
02,Alaska,offseason,2016,25,201625,1462,0.205198,,,
02,Alaska,2015/2016,2016,6,201606,1667,1.19976,,,
02,Alaska,2015/2016,2015,50,201550,884,0.226244,,,
02,Alaska,offseason,2016,28,201628,1152,0.260417,,,
02,Alaska,offseason,2016,30,201630,1170,0.512821,,,
02,Alaska,offseason,2016,23,201623,1145,0.436681,,,
02,Alaska,offseason,2016,21,201621,1469,0.544588,,,
02,Alaska,2015/2016,2015,45,201545,981,1.1213,,,
02,Alaska,offseason,2016,35,201635,642,1.24611,,,
02,Alaska,offseason,2016,29,201629,1189,0.252313,,,
02,Alaska,2015/2016,2016,4,201604,974,0.718686,,,
02,Alaska,2015/2016,2016,10,201610,1880,3.40426,35.84,35.84,0.0
02,Alaska,2015/2016,2015,43,201543,1693,0.531601,,,
02,Alaska,offseason,2016,37,201637,1525,0.918033,,,
02,Alaska,offseason,2016,24,201624,1064,0.56391,,,
02,Alaska,2015/2016,2016,16,201616,1518,3.55731,16.2,5.4,10.8
02,Alaska,2015/2016,2015,49,201549,1006,0.596421,0.0,0.0,0.0
02,Alaska,offseason,2016,27,201627,1344,0.520833,,,
02,Alaska,offseason,2016,36,201636,1541,0.973394,,,
02,Alaska,offseason,2016,33,201633,1556,0.514139,,,
02,Alaska,2015/2016,2016,3,201603,924,0.4329,,,
02,Alaska,2015/2016,2015,40,201540,1594,0.627353,,,
02,Alaska,offseason,2016,32,201632,1213,0.577082,,,
02,Alaska,offseason,2016,38,201638,1122,1.15865,,,
02,Alaska,offseason,2016,22,201622,1095,0.547945,,,
02,Alaska,2015/2016,2015,42,201542,1730,0.982659,,,
02,Alaska,offseason,2016,34,201634,1250,0.64,,,
02,Alaska,offseason,2016,39,201639,1122,1.24777,,,
02,Alaska,offseason,2016,31,201631,1193,0.586756,,,
02,Alaska,2015/2016,2016,9,201609,1764,1.92744,9.2718,9.2718,0.0
02,Alaska,2015/2016,2015,48,201548,984,1.32114,0.0,0.0,0.0
02,Alaska,2015/2016,2015,41,201541,1705,1.17302,,,
02,Alaska,2015/2016,2015,47,201547,832,0.721154,,,
02,Alaska,2015/2016,2016,15,201615,1294,2.78207,7.2,4.1148,3.0852
02,Alaska,2015/2016,2016,2,201602,901,0.332963,,,
